column_name,dtype,non_null_count,null_count,null_pct,unique_count
incident_id,str,336,0,0.0,336
emdat_dis_no,str,336,0,0.0,336
disaster_type,str,336,0,0.0,2
disaster_subgroup,str,336,0,0.0,2
country,str,336,0,0.0,27
iso3,str,336,0,0.0,27
region,str,336,0,0.0,5
location,str,319,17,5.06,302
start_date,str,336,0,0.0,326
observation_timestamp,str,336,0,0.0,326
feature_availability_class,str,336,0,0.0,1
predictor_features_x,object,336,0,0.0,72
hazard_source,str,336,0,0.0,2
hazard_event_id,str,336,0,0.0,72
observed_outcomes_y,object,336,0,0.0,335
match_method,str,336,0,0.0,2
match_score,float64,336,0,0.0,39
match_confidence,str,336,0,0.0,2
temporal_distance_hours,float64,66,270,80.36,65
spatial_distance_km,object,0,336,100.0,0
provenance,object,336,0,0.0,336
