canonical_incident_id,outcome_source,outcome_source_id,hazard_source,hazard_source_id,exposure_source,prediction_time,outcome_time,X_verified,Y_verified,temporal_valid,leakage_free,is_event_level_dataset,point_in_time_ml_eligible,event_level_baseline_eligible
INC-EMDAT-2025-0303-ECU,EM-DAT,2025-0303-ECU,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-04-25T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0750-AFG,EM-DAT,2025-0750-AFG,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-08-31T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2024-0962-AGO,EM-DAT,2024-0962-AGO,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-01-07T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-9122-SOM,EM-DAT,2025-9122-SOM,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-01-01T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0272-KGZ,EM-DAT,2025-0272-KGZ,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-03-17T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0694-SOM,EM-DAT,2025-0694-SOM,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-01-01T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0647-GNQ,EM-DAT,2025-0647-GNQ,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-08-02T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-1089-MDG,EM-DAT,2025-1089-MDG,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-12-01T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0161-ARG,EM-DAT,2025-0161-ARG,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-03-06T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2000-0237-CHN,EM-DAT,2000-0237-CHN,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2000-05-09T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2024-0845-YEM,EM-DAT,2024-0845-YEM,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2024-07-01T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-1054-CHL,EM-DAT,2025-1054-CHL,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-12-14T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0612-TUR,EM-DAT,2025-0612-TUR,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-04-01T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0977-IDN,EM-DAT,2025-0977-IDN,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-11-24T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
INC-EMDAT-2025-0870-PHL,EM-DAT,2025-0870-PHL,FALLBACK_DEFAULT,NONE,CONSTANT_PLACEHOLDER_280,2025-10-10T00:00:00Z,EVENT_LEVEL_AGGREGATE,False,True,True,True,True,False,True
